title,description,search
accel-storage-increase-by-partition,,"`collectd_index` object=""df-*"" (df_complex_used=* OR df_complex_free=* OR df_complex_reserved=*) |
stats earliest(df_complex_used) as lastused latest(df_complex_used) as used latest(df_complex_free) as free latest(df_complex_reserved) as reserved by host object"
Access - Access App Tracker - Lookup Gen,Maintains a list of Authentication app values and the first and last time they have been seen,"| tstats summariesonly=true min(""_time"") as ""firstTime"",max(""_time"") as ""lastTime"" from datamodel=""Authentication"".""Authentication"" where ""Authentication.app""!=""unknown"" by ""Authentication.app"" | rename ""Authentication.app"" as ""app"" | inputlookup append=T ""access_app_tracker"" | stats min(""firstTime"") as ""firstTime"",max(""lastTime"") as ""lastTime"" by ""app"" | outputlookup override_if_empty=false ""access_app_tracker"" | stats count"
Access - Access Over Time,,| `tstats` count from datamodel=Authentication.Authentication by _time span=10m | timechart minspan=10m count
Access - Access Over Time By Action,,"| `tstats` count from datamodel=Authentication.Authentication by _time,Authentication.action span=10m | timechart minspan=10m useother=`useother` count by Authentication.action | `drop_dm_object_name(""Authentication"")`"
Access - Access Over Time By App,,"| `tstats` count from datamodel=Authentication.Authentication by _time,Authentication.app span=10m | timechart minspan=10m useother=`useother` count by Authentication.app"
Access - Account Deleted - Rule,Detects user and computer account deletion,"| from datamodel:""Change"".""Account_Management"" | where 'tag'=""delete"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""result"") as ""signature"",values(""src"") as ""src"",values(""dest"") as ""dest"",count by ""src_user"",""user"" | where 'count'>0"
Access - Account Usage For Expired Identities,,"| tstats `summariesonly` max(_time) as _time,values(Authentication.dest) as dest from datamodel=Authentication.Authentication by Authentication.user | `drop_dm_object_name(""Authentication"")` | `get_identity4events(user)` | where isnotnull(user_endDate) | where _time>user_endDate | `uitime(user_endDate,""%m/%d/%Y %H:%M:%S"")` | fields _time,user,user_first,user_last,user_endDate,dest"
Access - All Authentication By Asset - Swimlane,,"| tstats `summariesonly` values(Authentication.action) as action,values(Authentication.app) as app,values(Authentication.src) as src,values(Authentication.dest) as dest,values(Authentication.user) as user,count from datamodel=Authentication.Authentication where $constraints$ by _time span=$span$"
Access - All Authentication By Identity - Swimlane,,"| tstats `summariesonly` values(Authentication.action) as action,values(Authentication.app) as app,values(Authentication.src) as src,values(Authentication.dest) as dest,values(Authentication.user) as user,count from datamodel=Authentication.Authentication where $constraints$ by _time span=$span$"
Access - Authentication Failures By Source - Model Gen,,"| tstats `summariesonly` count as failure from datamodel=Authentication.Authentication where Authentication.action=""failure"" by Authentication.src,_time span=1h | fit DensityFunction failure partial_fit=true dist=norm into app:failures_by_src_count_1h"
Access - Authentication Failures By Source Per Day - Model Gen,,"| tstats `summariesonly` count as failure from datamodel=Authentication.Authentication where Authentication.action=""failure"" by Authentication.src,_time span=1d | fit DensityFunction failure partial_fit=true dist=norm into app:failures_by_src_count_1d"
