"name","risk","type","scope"
"AggregatorHost","unknown","unknown","unknown"
"AppVShNotify","unknown","unknown","unknown"
"ApplicationFrameHost","unknown","unknown","unknown"
"AvastSvc","unknown","unknown","unknown"
"AvastUI","unknown","unknown","unknown"
"AvastUI#1","unknown","unknown","unknown"
"AvastUI#2","unknown","unknown","unknown"
"AvastUI#3","unknown","unknown","unknown"
"DAX3API","unknown","unknown","unknown"
"DAX3API#1","unknown","unknown","unknown"
"DriverUpdSvc","unknown","unknown","unknown"
"FMService64","unknown","unknown","unknown"
"FnHotkeyUtility","unknown","unknown","unknown"
"GoogleCrashHandler","unknown","unknown","unknown"
"GoogleCrashHandler64","unknown","unknown","unknown"
"HxAccounts","unknown","unknown","unknown"
"HxOutlook","unknown","unknown","unknown"
"HxTsr","unknown","unknown","unknown"
"IntelAudioService","unknown","unknown","unknown"
"IntelCpHDCPSvc","unknown","unknown","unknown"
"LMS","unknown","unknown","unknown"
"Lenovo.Modern.ImController","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.Device","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.SettingsApp","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.SettingsApp#1","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.SettingsApp#2","unknown","unknown","unknown"
"Lenovo.VantageService.InstallerHelper","unknown","unknown","unknown"
"LenovoUtilityService","unknown","unknown","unknown"
"LenovoVantage-(BatteryWidgetAddin)","unknown","unknown","unknown"
"LenovoVantage-(DeviceSettingsHeartbeatAddin)","unknown","unknown","unknown"
"LenovoVantage-(DeviceSettingsSystemAddin)","unknown","unknown","unknown"
"LenovoVantage-(GenericMessagingAddin)","unknown","unknown","unknown"
"LenovoVantage-(LenovoBoostAddin)","unknown","unknown","unknown"
"LenovoVantage-(LenovoBoostSystemAddin)","unknown","unknown","unknown"
"LenovoVantage-(LenovoSecurityAddin)","unknown","unknown","unknown"
"LenovoVantage-(LenovoServiceBridgeAddin)","unknown","unknown","unknown"
"LenovoVantage-(LenovoSystemUpdateAddin)","unknown","unknown","unknown"
"LenovoVantage-(SmartInteractAddin)","unknown","unknown","unknown"
"LenovoVantage-(SmartPrivacyAddin)","unknown","unknown","unknown"
"LenovoVantage-(VantageCoreAddin)","unknown","unknown","unknown"
"LenovoVantageService","unknown","unknown","unknown"
"LockApp","unknown","unknown","unknown"
"LsaIso","unknown","unknown","unknown"
"Memory_Compression","unknown","unknown","unknown"
"Microsoft.Photos","unknown","unknown","unknown"
"MiniSearchHost","unknown","unknown","unknown"
"OfficeClickToRun","unknown","unknown","unknown"
"OneApp.IGCC.WinService","unknown","unknown","unknown"
"Registry","unknown","unknown","unknown"
"RstMwService","unknown","unknown","unknown"
"RtkAudUService64","unknown","unknown","unknown"
"RtkAudUService64#1","unknown","unknown","unknown"
"RuntimeBroker","unknown","unknown","unknown"
"RuntimeBroker#1","unknown","unknown","unknown"
"RuntimeBroker#2","unknown","unknown","unknown"
"RuntimeBroker#3","unknown","unknown","unknown"
"RuntimeBroker#4","unknown","unknown","unknown"
"RuntimeBroker#5","unknown","unknown","unknown"
"RuntimeBroker#6","unknown","unknown","unknown"
"RuntimeBroker#7","unknown","unknown","unknown"
"SDXHelper","unknown","unknown","unknown"
"SearchHost","unknown","unknown","unknown"
"SearchIndexer","unknown","unknown","unknown"
"Secure_System","unknown","unknown","unknown"
"SecurityHealthService","unknown","unknown","unknown"
"SecurityHealthSystray","unknown","unknown","unknown"
"SgrmBroker","unknown","unknown","unknown"
"ShellExperienceHost","unknown","unknown","unknown"
"StartMenuExperienceHost","unknown","unknown","unknown"
"System","unknown","unknown","unknown"
"SystemSettings","unknown","unknown","unknown"
"SystemSettingsBroker","unknown","unknown","unknown"
"TISmartAmpService","unknown","unknown","unknown"
"TISmartAmpService#1","unknown","unknown","unknown"
"TabTip","unknown","unknown","unknown"
"TbtP2pShortcutService","unknown","unknown","unknown"
"TextInputHost","unknown","unknown","unknown"
"TuneupSvc","unknown","unknown","unknown"
"UDClientService","unknown","unknown","unknown"
"UserOOBEBroker","unknown","unknown","unknown"
"Video.UI","unknown","unknown","unknown"
"VpnSvc","unknown","unknown","unknown"
"WTabletServiceISD","unknown","unknown","unknown"
"WTabletServiceISD#1","unknown","unknown","unknown"
"WUDFHost","unknown","unknown","unknown"
"WUDFHost#1","unknown","unknown","unknown"
"WUDFHost#2","unknown","unknown","unknown"
"WUDFHost#3","unknown","unknown","unknown"
"Widgets","unknown","unknown","unknown"
