title,description,search
"Access - Access App Tracker - Lookup Gen","Maintains a list of Authentication app values and the first and last time they have been seen","
 tstats min(""_time"") as ""firstTime"",max(""_time"") as ""lastTime"" from datamodel=""Authentication"".""Authentication"" where ""Authentication.app""!=""unknown"" by ""Authentication.app"" 
 rename ""Authentication.app"" as ""app"" 
 inputlookup append=T ""access_app_tracker"" 
 stats min(""firstTime"") as ""firstTime"",max(""lastTime"") as ""lastTime"" by ""app"" 
 outputlookup override_if_empty=false ""access_app_tracker"" 
 stats count"
"Access - Access Over Time",,"
 tstasts count from datamodel=Authentication.Authentication by _time span=10m 
 timechart minspan=10m count"
"Access - Access Over Time By Action",,"
 tstasts count from datamodel=Authentication.Authentication by _time,Authentication.action span=10m 
 timechart minspan=10m useother=`useother` count by Authentication.action 
 `drop_dm_object_name(""Authentication"")`"
"Access - Access Over Time By App",,"
 tstasts count from datamodel=Authentication.Authentication by _time,Authentication.app span=10m 
 timechart minspan=10m useother=`useother` count by Authentication.app"
"Access - Account Usage For Expired Identities",,"
 tstats max(_time) as _time,values(Authentication.dest) as dest from datamodel=Authentication.Authentication by Authentication.user 
 `drop_dm_object_name(""Authentication"")` 
 `get_identity4events(user)` 
 where isnotnull(user_endDate) 
 where _time>user_endDate 
 `uitime(user_endDate,""%m/%d/%Y %H:%M:%S"")` 
 fields _time,user,user_first,user_last,user_endDate,dest"
"Access - Authentication Failures By Source - Model Gen",,"
 tstats count as failure from datamodel=Authentication.Authentication where Authentication.action=""failure"" by Authentication.src,_time span=1h 
 fit DensityFunction failure partial_fit=true dist=norm into app:failures_by_src_count_1h"
"Access - Authentication Failures By Source Per Day - Model Gen",,"
 tstats count as failure from datamodel=Authentication.Authentication where Authentication.action=""failure"" by Authentication.src,_time span=1d 
 fit DensityFunction failure partial_fit=true dist=norm into app:failures_by_src_count_1d"
"Access - Authentication Tracker - Lookup Gen","Maintains a list of users that have authenticated to each system and the first, second to last, and last time they have been seen","
 tstats count from datamodel=Authentication.Authentication where Authentication.action=success Authentication.dest!=unknown Authentication.user!=unknown by _time,Authentication.dest,Authentication.user span=1s 
 `drop_dm_object_name(""Authentication"")` 
 stats min(_time) as firstTime,values(_time) as second2lastTime,max(_time) as lastTime by dest,user 
 eval dest=lower(dest),user=lower(user),_key=sha1(dest.""
"".user) 
 lookup access_tracker _key OUTPUTNEW firstTime as lookup_firstTime, second2lastTime as lookup_second2lastTime, lastTime as lookup_lastTime 
 eval firstTime=min(firstTime, lookup_firstTime),lastTime=max(lastTime, lookup_lastTime), second2lastTime=mvdedup(mvappend(second2lastTime,NULL,lookup_second2lastTime)), lastTime_vals=mvdedup(mvappend(lastTime,NULL,lookup_lastTime)) 
 eval `get_second2lastTime_meval(second2lastTime,lastTime_vals,lastTime)` 
 eventstats min(firstTime) as firstTime_user,max(lastTime) as lastTime_user by user  
 fields - lastTime_vals, lookup_firstTime, lookup_lastTime, lookup_second2lastTime 
 outputlookup append=T key_field=_key access_tracker 
 stats count"
"Access - Authentication Volume Per Day - Model Gen",,"
 tstats count as current_count from datamodel=Authentication.Authentication by _time span=1d 
 fit DensityFunction current_count partial_fit=true dist=norm into app:authentication_count_1d"
"Access - Brute Force Access Behavior Detected Over 1d - Rule","Detects an excessive number of failed login attempts, along with a successful attempt, over a one day period (this could indicate a successful brute force attack)","
 tstats values(Authentication.app) as app,count from datamodel=Authentication.Authentication by Authentication.action,Authentication.src 
 `drop_dm_object_name(""Authentication"")` 
 eval success=if(action=""success"",count,0),failure=if(action=""failure"",count,0) 
 stats values(app) as app,sum(failure) as failure,sum(success) as success by src 
 where success > 0 
 `mltk_apply_upper(""app:failures_by_src_count_1d"", ""medium"", ""failure"")`"
"Access - Concurrent App Accesses - Rule","Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse.","
 tstats count from datamodel=Authentication.Authentication by _time,Authentication.app,Authentication.src,Authentication.user span=1s 
 `drop_dm_object_name(""Authentication"")` 
 eventstats dc(src) as src_count by app,user 
 search src_count>1 
 sort 0 + _time 
 streamstats current=t window=2 earliest(_time) as previous_time,earliest(src) as previous_src by app,user 
 where (src!=previous_src) 
 eval time_diff=abs(_time-previous_time) 
 where time_diff<300"
"Access - Default Account Usage Over Time",,"
 tstasts count from datamodel=Authentication.Authentication where nodename=Authentication.Default_Authentication Authentication.action=success by _time span=1h 
 timechart minspan=1h count"
"Access - Default Account Usage Over Time By App",,"
 tstasts count from datamodel=Authentication.Authentication where nodename=Authentication.Default_Authentication Authentication.action=success by _time,Authentication.app span=1h 
 timechart minspan=1h count by Authentication.app 
 `drop_dm_object_name(""Authentication"")`"
"Access - Default Accounts In Use",,"
 tstats max(_time) as _time,values(Authentication.user_category) as user_category,dc(Authentication.dest) as dc(dest) from datamodel=Authentication.Authentication where Authentication.user_category=default by Authentication.user 
 `drop_dm_object_name(""Authentication"")` 
 sort 100 - _time 
 fields _time,user,user_category,dc(dest)"
"Access - Geographically Improbable Access - Summary Gen",,"
 tstasts min(_time),earliest(Authentication.app) from datamodel=Authentication.Authentication where Authentication.action=""success"" by Authentication.src,Authentication.user 
 eval psrsvd_ct_src_app='psrsvd_ct_Authentication.app',psrsvd_et_src_app='psrsvd_et_Authentication.app',psrsvd_ct_src_time='psrsvd_ct__time',psrsvd_nc_src_time='psrsvd_nc__time',psrsvd_nn_src_time='psrsvd_nn__time',psrsvd_vt_src_time='psrsvd_vt__time',src_time='_time',src_app='Authentication.app',user='Authentication.user',src='Authentication.src' 
 lookup asset_lookup_by_str asset as ""src"" OUTPUTNEW lat as ""src_lat"",long as ""src_long"",city as ""src_city"",country as ""src_country"" 
 lookup asset_lookup_by_cidr asset as ""src"" OUTPUTNEW lat as ""src_lat"",long as ""src_long"",city as ""src_city"",country as ""src_country"" 
 iplocation src 
 search (src_lat=* src_long=*) OR (lat=* lon=*) 
 eval src_lat=if(isnotnull(src_lat),src_lat,lat),src_long=if(isnotnull(src_long),src_long,lon),src_city=case(isnotnull(src_city),src_city,isnotnull(City),City,1=1,""unknown""),src_country=case(isnotnull(src_country),src_country,isnotnull(Country),Country,1=1,""unknown"") 
 stats earliest(src_app) as src_app,min(src_time) as src_time by src,src_lat,src_long,src_city,src_country,user 
 eval key=src.""@@"".src_time.""@@"".src_app.""@@"".src_lat.""@@"".src_long.""@@"".src_city.""@@"".src_country 
 eventstats dc(key) as key_count,values(key) as key by user 
 search key_count>1 
 stats first(src_app) as src_app,first(src_time) as src_time,first(src_lat) as src_lat,first(src_long) as src_long,first(src_city) as src_city,first(src_country) as src_country by src,key,user 
 rex field=key ""^(?<dest>.+?)@@(?<dest_time>.+?)@@(?<dest_app>.+)@@(?<dest_lat>.+)@@(?<dest_long>.+)@@(?<dest_city>.+)@@(?<dest_country>.+)"" 
 where src!=dest 
 eval key=mvsort(mvappend(src.""->"".dest, NULL, dest.""->"".src)),units=""m"" 
 dedup key, user 
 `globedistance(src_lat,src_long,dest_lat,dest_long,units)` 
 eval speed=distance/(abs(src_time-dest_time+1)/3600) 
 where speed>=500 
 fields user,src_time,src_app,src,src_lat,src_long,src_city,src_country,dest_time,dest_app,dest,dest_lat,dest_long,dest_city,dest_country,distance,speed 
 eval _time=now()"
